record_id,owner_name,guardian_name,state,district,tehsil,village,khasra_number,plot_number,land_use_type,land_area_sq_m,survey_year,latitude,longitude,document_id,upload_timestamp,Hash,QR_Image
12,Priya Singh,Nidhi Saxena,Uttar Pradesh,Varanasi,Sadar,Shivpur,5277,902/7,Agricultural,1029,2021,26.796318,81.557152,LANDDOC-10012,2026-03-14 11:37:43,dbe1b44b0405a8b3fbf7cb47a22a2c4a38723aec3719b1766c12481aa6143417,qr_codes\qr_12.png
13,Arjun Singh,Saurabh Jain,Uttar Pradesh,Sitapur,Sadar,Shivpur,9739,993/8,Commercial,4139,2023,27.490031,81.226854,LANDDOC-10013,2026-03-14 11:37:43,1d1e3607486f83314c5ee54cee1d0780641f4f54c7076f1e400e2ace22eb13d4,qr_codes\qr_13.png
14,Nidhi Saxena,Rahul Verma,Uttar Pradesh,Barabanki,Meja,Madhopur,8387,738/2,Residential,2252,2021,26.943526,81.24502,LANDDOC-10014,2026-03-14 11:37:43,92614c343fb61f78de870ab0c1d569f041fe42809e825d8282b4dc6998a41d33,qr_codes\qr_14.png
15,Saurabh Jain,Amit Sharma,Uttar Pradesh,Sitapur,Bikapur,Madhopur,2662,218/2,Commercial,464,2018,27.017808,79.794875,LANDDOC-10015,2026-03-14 11:37:43,5f98ae7a0ebbc76938d60066bd7bb93752c6082374d7d26270bcec1ae86bb41d,qr_codes\qr_15.png
16,Nidhi Saxena,Ravi Shukla,Uttar Pradesh,Gorakhpur,Malihabad,Shivpur,7262,690/2,Agricultural,402,2024,26.248176,80.946169,LANDDOC-10016,2026-03-14 11:37:43,a0efc36debc7d603a2a2aecf5d8b0274a5862c4b38c833e2e88e5cc976e63087,qr_codes\qr_16.png
17,Deepak Yadav,Saurabh Jain,Uttar Pradesh,Sitapur,Malihabad,Basantpur,8905,302/3,Commercial,657,2018,25.900483,80.121311,LANDDOC-10017,2026-03-14 11:37:43,0168049457fcf1e56df5216412c025f81e1f0045a2175c822dc5cd68c57a6719,qr_codes\qr_17.png
18,Saurabh Jain,Nidhi Saxena,Uttar Pradesh,Barabanki,Meja,Kalyanpur,4390,684/1,Agricultural,849,2018,25.523147,80.504073,LANDDOC-10018,2026-03-14 11:37:43,711f22f03f693a1366565bb5ed3b654351c18a2b719ac9693f67354862ae7138,qr_codes\qr_18.png
19,Rahul Verma,Pooja Yadav,Uttar Pradesh,Lucknow,Meja,Kalyanpur,1713,285/2,Residential,4281,2019,25.928146,79.959147,LANDDOC-10019,2026-03-14 11:37:43,6fbd4676f2a776438de6fc305383187cedca7eaa36b34d1d494fcdf2cae266f2,qr_codes\qr_19.png
20,Rohit Mishra,Nidhi Saxena,Uttar Pradesh,Barabanki,Bikapur,Rampur,5777,351/7,Commercial,1711,2016,27.041744,82.485952,LANDDOC-10020,2026-03-14 11:37:43,ee33617c00c49efbb80cb9a3e7cb34e433bb741476cb6f7ed3a572e83096b3c8,qr_codes\qr_20.png
21,Sneha Dubey,Amit Sharma,Uttar Pradesh,Gorakhpur,Malihabad,Kalyanpur,3733,558/9,Commercial,1096,2023,25.535639,80.447815,LANDDOC-10021,2026-03-14 11:37:43,ee84876e94e63295daed1df8404f75dea2ca09aefc54f4e07386f6b3cf14fe16,qr_codes\qr_21.png
22,Vikas Pandey,Rahul Verma,Uttar Pradesh,Lucknow,Sadar,Basantpur,5897,124/1,Residential,2174,2020,26.351843,81.464651,LANDDOC-10022,2026-03-14 11:37:43,4e318b6729e3d4cd9e82384b7e4d39815f18e48f83650e28f4b00148cb48605f,qr_codes\qr_22.png
23,Anjali Srivastava,Amit Sharma,Uttar Pradesh,Lucknow,Meja,Madhopur,6543,242/6,Agricultural,1525,2015,27.021538,79.594433,LANDDOC-10023,2026-03-14 11:37:43,31762631cee94de1ec7e159c29af947fa4ddc7ba839f9717804e63787ae813b0,qr_codes\qr_23.png
24,Deepak Yadav,Rahul Verma,Uttar Pradesh,Sitapur,Meja,Shivpur,3458,900/4,Commercial,4933,2018,27.267042,80.106312,LANDDOC-10024,2026-03-14 11:37:43,c6a459fbeae32006aed8872bbc0d90ca6aab04f3bbe721314a9c3a67d17c2755,qr_codes\qr_24.png
25,Arjun Singh,Neha Gupta,Uttar Pradesh,Sitapur,Phulpur,Shivpur,2982,131/3,Residential,4629,2024,27.075326,80.976325,LANDDOC-10025,2026-03-14 11:37:43,7afc95105dbd1d94c2630ef8b5ade0d98889e4aba387d4900be3ef7e448f8bc3,qr_codes\qr_25.png
26,Rahul Verma,Neha Gupta,Uttar Pradesh,Gorakhpur,Bikapur,Basantpur,4003,260/1,Commercial,3429,2017,25.669463,82.24242,LANDDOC-10026,2026-03-14 11:37:43,40d5db97053272dd8cc7bd93980e3ffb2ff5588e8c42f0c8c61f2ecc3303482b,qr_codes\qr_26.png
27,Sneha Dubey,Sneha Dubey,Uttar Pradesh,Varanasi,Sadar,Shivpur,2839,615/8,Agricultural,1998,2023,26.993582,81.471725,LANDDOC-10027,2026-03-14 11:37:43,09f0079e8185f0e565e43089fb97ef19c91fa6db8b644062a06f872299c9d79c,qr_codes\qr_27.png
28,Rahul Verma,Nidhi Saxena,Uttar Pradesh,Prayagraj,Phulpur,Rampur,1256,900/3,Agricultural,4829,2018,26.231742,79.602862,LANDDOC-10028,2026-03-14 11:37:43,6a706729534595e91215b51fb1b4d0b122d505264bc62ef1154b89bf7eafa469,qr_codes\qr_28.png
29,Rohit Mishra,Amit Sharma,Uttar Pradesh,Sitapur,Meja,Madhopur,8310,857/2,Agricultural,3453,2017,25.635907,79.694198,LANDDOC-10029,2026-03-14 11:37:43,2b2cbdf968852a9c1d66205ef54b50ed4eef73af548c693d791e59d637cee6b9,qr_codes\qr_29.png
30,Rahul Verma,Pooja Yadav,Uttar Pradesh,Barabanki,Meja,Shivpur,9682,992/9,Residential,3100,2019,26.3497,80.020918,LANDDOC-10030,2026-03-14 11:37:43,6f17775e6f9c893df0be19c7609447c48f3701ddcaec236c7d79310c211ffdfb,qr_codes\qr_30.png
31,Sneha Dubey,Pooja Yadav,Uttar Pradesh,Gorakhpur,Sadar,Basantpur,7014,662/8,Agricultural,2382,2017,26.909107,81.937222,LANDDOC-10031,2026-03-14 11:37:43,c7cff230efc6dd9e21aa285682aab211ca0b81165a277e107a59add5e3d8638d,qr_codes\qr_31.png
32,Ankit Tiwari,Rahul Verma,Uttar Pradesh,Prayagraj,Malihabad,Rampur,6073,861/1,Agricultural,5000,2023,26.971613,82.189007,LANDDOC-10032,2026-03-14 11:37:43,057431c54ecaafbe0856603e13b322a5766c4e5402b4a6d6c4328e4e0c13f9e4,qr_codes\qr_32.png
33,Vikas Pandey,Sneha Dubey,Uttar Pradesh,Gorakhpur,Bikapur,Rampur,3229,355/4,Agricultural,1741,2020,25.69561,81.392844,LANDDOC-10033,2026-03-14 11:37:43,8599586d095ede9b100545f3347e332c042d5f61e15c199d7bc084602f900bec,qr_codes\qr_33.png
34,Ravi Shukla,Rohit Mishra,Uttar Pradesh,Lucknow,Phulpur,Rampur,6293,367/2,Agricultural,1065,2017,25.82117,80.394982,LANDDOC-10034,2026-03-14 11:37:43,34c66cc64bf70b7f6fb9efab3586bc1adc15911aefe70542566e3877abe8790d,qr_codes\qr_34.png
35,Ravi Shukla,Neha Gupta,Uttar Pradesh,Kanpur,Meja,Rampur,8254,616/8,Agricultural,2391,2016,27.39189,81.969633,LANDDOC-10035,2026-03-14 11:37:43,06487a16a4fb7fffd2cca96bd68bd889b6eda432d911047abc87bc7519042928,qr_codes\qr_35.png
36,Priya Singh,Arjun Singh,Uttar Pradesh,Prayagraj,Sadar,Madhopur,6746,311/6,Residential,1058,2023,26.522058,82.365996,LANDDOC-10036,2026-03-14 11:37:43,ea24071f9b4ddb0b4e59361f3a27bdae0e54b6f758569cac7ad9d7e4089625a9,qr_codes\qr_36.png
37,Saurabh Jain,Rohit Mishra,Uttar Pradesh,Barabanki,Sadar,Kalyanpur,7808,903/4,Residential,1960,2015,25.866312,81.758128,LANDDOC-10037,2026-03-14 11:37:43,36428b0b3b8974f128f3641ae0746cf2eb9efbe94bb9a1b2867acdf7d845c406,qr_codes\qr_37.png
38,Saurabh Jain,Ankit Tiwari,Uttar Pradesh,Sitapur,Malihabad,Basantpur,8791,501/1,Agricultural,4299,2021,27.089347,79.526392,LANDDOC-10038,2026-03-14 11:37:43,909f6e8f1cf48da72a5fc2ffb357665edc5175751e34bb3a391697d4430dd087,qr_codes\qr_38.png
39,Saurabh Jain,Sneha Dubey,Uttar Pradesh,Varanasi,Malihabad,Basantpur,3258,927/9,Commercial,3404,2018,27.384467,79.911436,LANDDOC-10039,2026-03-14 11:37:43,087ad42e53486c18451d8197bf1d244e6f37b0b53c46766319bb716b2c93fd0e,qr_codes\qr_39.png
40,Arjun Singh,Deepak Yadav,Uttar Pradesh,Gorakhpur,Malihabad,Shivpur,6173,162/4,Commercial,4639,2024,27.338678,82.143774,LANDDOC-10040,2026-03-14 11:37:43,db1b5523960c5d7dead2dc456f19f1f982079c5cd00f288657422b41a8627ef8,qr_codes\qr_40.png
41,Neha Gupta,Amit Sharma,Uttar Pradesh,Kanpur,Bikapur,Rampur,7580,671/8,Commercial,4897,2016,27.43505,79.658265,LANDDOC-10041,2026-03-14 11:37:43,f173fc7902d75e1ffe5aa25669600b53c90acf97ade2c27443b84960712df83a,qr_codes\qr_41.png
42,Amit Sharma,Ravi Shukla,Uttar Pradesh,Gorakhpur,Meja,Kalyanpur,3018,934/7,Residential,1935,2015,25.526242,81.384232,LANDDOC-10042,2026-03-14 11:37:43,8d66a17f964a9822cf1d0bf4ab3296ad11a571409e4d66a1441fa52209a8f7cc,qr_codes\qr_42.png
43,Pooja Yadav,Sneha Dubey,Uttar Pradesh,Prayagraj,Meja,Rampur,4446,336/3,Commercial,354,2016,26.052915,79.860719,LANDDOC-10043,2026-03-14 11:37:43,79f0854ae797a4e4846cc32083147b33e43047190498e33df20aceb36d48bf43,qr_codes\qr_43.png
44,Rahul Verma,Arjun Singh,Uttar Pradesh,Varanasi,Bikapur,Shivpur,1632,406/5,Commercial,3578,2020,27.29235,80.553243,LANDDOC-10044,2026-03-14 11:37:43,bddfe6254e4bd8387657fe57889dc3ca1fbaef9f2b73281abe56ffb2747d4c56,qr_codes\qr_44.png
45,Ankit Tiwari,Anjali Srivastava,Uttar Pradesh,Barabanki,Sadar,Lakshmipur,5828,875/4,Agricultural,2448,2017,26.401127,82.393656,LANDDOC-10045,2026-03-14 11:37:43,c79322e957a7aadcfa956693a2243094e5568dce3365ac30f645b67b7ced999b,qr_codes\qr_45.png
46,Priya Singh,Priya Singh,Uttar Pradesh,Kanpur,Sadar,Lakshmipur,7630,634/8,Agricultural,3798,2016,25.783078,79.575495,LANDDOC-10046,2026-03-14 11:37:43,266263835d95f4f377b88bafebd31b9476d305519fa1ea24233175e7f3e5113d,qr_codes\qr_46.png
47,Ravi Shukla,Ankit Tiwari,Uttar Pradesh,Varanasi,Sadar,Rampur,4822,511/1,Commercial,3772,2022,27.059954,79.588943,LANDDOC-10047,2026-03-14 11:37:43,b1b547b649ae67137c26c501cccbde0cca79a0ac9709d0dafc866368a6ce866e,qr_codes\qr_47.png
48,Rahul Verma,Rahul Verma,Uttar Pradesh,Lucknow,Malihabad,Basantpur,9660,290/6,Residential,4596,2022,27.466333,81.890055,LANDDOC-10048,2026-03-14 11:37:43,fddd4e087ea6a910618052c285fdcf2a7285190b7b47d2fc450a80af3ad4138d,qr_codes\qr_48.png
49,Sneha Dubey,Ankit Tiwari,Uttar Pradesh,Lucknow,Malihabad,Lakshmipur,3759,855/7,Agricultural,4976,2016,25.889837,82.296297,LANDDOC-10049,2026-03-14 11:37:43,75a9e5af77e08028fa7c9dc425a92b344473e50e43b8bf97de5eac5ed70ddca0,qr_codes\qr_49.png
50,Deepak Yadav,Ravi Shukla,Uttar Pradesh,Varanasi,Malihabad,Madhopur,4767,442/4,Commercial,2411,2017,27.167553,79.555414,LANDDOC-10050,2026-03-14 11:37:43,5b611c06be6796a6d73361161eb0d8d99ab19da786fb7a511f2e36f499b42888,qr_codes\qr_50.png
51,Arjun Singh,Deepak Yadav,Uttar Pradesh,Barabanki,Bikapur,Kalyanpur,7100,125/7,Residential,1505,2020,25.819765,80.61237,LANDDOC-10051,2026-03-14 11:37:43,fab449bbd4cb2296d941b57b9a226833f6f0d7a9de4bb16fcf93d7e322a4c59e,qr_codes\qr_51.png
52,Vikas Pandey,Sneha Dubey,Uttar Pradesh,Varanasi,Bikapur,Kalyanpur,4765,582/5,Commercial,4269,2021,25.500319,79.544749,LANDDOC-10052,2026-03-14 11:37:43,6c5446683f79ba12e27b70fca07a25de4a7ba64d11cf9ab59aa526a3c44dc1ea,qr_codes\qr_52.png
53,Saurabh Jain,Priya Singh,Uttar Pradesh,Kanpur,Meja,Kalyanpur,1786,803/2,Commercial,2749,2022,25.96701,79.813468,LANDDOC-10053,2026-03-14 11:37:43,891414254b52b0adfc855cce300ee108fe144306a78354df87832b31710c3f42,qr_codes\qr_53.png
54,Rahul Verma,Anjali Srivastava,Uttar Pradesh,Kanpur,Malihabad,Basantpur,3847,570/9,Commercial,1920,2022,27.138582,80.935388,LANDDOC-10054,2026-03-14 11:37:43,da93af7eb0e580665f39ceb973f6399e34e882c8faf87d268fe1585168d8861d,qr_codes\qr_54.png
55,Sneha Dubey,Priya Singh,Uttar Pradesh,Prayagraj,Phulpur,Lakshmipur,3753,434/9,Residential,213,2022,26.568319,80.772771,LANDDOC-10055,2026-03-14 11:37:43,784091a4f1a764da3316a8908ee654ba3d3b0ba1f2cb48d7978c8ec796c08c1d,qr_codes\qr_55.png
56,Ravi Shukla,Nidhi Saxena,Uttar Pradesh,Sitapur,Meja,Kalyanpur,3274,426/4,Agricultural,4185,2024,26.884782,81.24667,LANDDOC-10056,2026-03-14 11:37:43,7af638d4150bb63cc9ee96e1891db23d1808e85285192b3d6c3ec9a24739f07a,qr_codes\qr_56.png
57,Deepak Yadav,Vikas Pandey,Uttar Pradesh,Prayagraj,Sadar,Madhopur,1171,680/3,Residential,1004,2015,27.365597,80.449125,LANDDOC-10057,2026-03-14 11:37:43,40556da5ab679b84aceb2e28609c64cc4070e93253cb471c68e39ad43a459609,qr_codes\qr_57.png
58,Nidhi Saxena,Rahul Verma,Uttar Pradesh,Lucknow,Bikapur,Basantpur,3762,598/1,Residential,1364,2016,25.614972,79.745558,LANDDOC-10058,2026-03-14 11:37:43,1368772a0326434203e5d1d11364d8419710ca711304a82527010857fa0ceb67,qr_codes\qr_58.png
59,Pooja Yadav,Saurabh Jain,Uttar Pradesh,Prayagraj,Bikapur,Lakshmipur,4050,990/9,Agricultural,1864,2018,27.464891,81.741231,LANDDOC-10059,2026-03-14 11:37:43,96a78565e22a956145b8dc99e4d0fe2df5a4e0dd19bce4d2fa395791f93a1860,qr_codes\qr_59.png
60,Amit Sharma,Neha Gupta,Uttar Pradesh,Gorakhpur,Phulpur,Shivpur,3134,260/4,Commercial,290,2018,27.328415,81.49663,LANDDOC-10060,2026-03-14 11:37:43,03afbe2625a02eadee29e586b016c10f8e8fd65134b4f9c621fec87db241790c,qr_codes\qr_60.png
61,Neha Gupta,Anjali Srivastava,Uttar Pradesh,Prayagraj,Sadar,Basantpur,3394,225/3,Agricultural,270,2024,25.844051,82.080208,LANDDOC-10061,2026-03-14 11:37:43,e9b8f3b584807eedd7a91531f5e87dcc52d338614df90ad1f4d6317b838ac947,qr_codes\qr_61.png
62,Arjun Singh,Nidhi Saxena,Uttar Pradesh,Varanasi,Phulpur,Basantpur,7787,473/5,Residential,4611,2018,26.610411,80.938478,LANDDOC-10062,2026-03-14 11:37:43,fe9b9dc32f9d55babab188f9301035497527b80dd5b3fb749bd62158a99414ab,qr_codes\qr_62.png
63,Ankit Tiwari,Arjun Singh,Uttar Pradesh,Sitapur,Bikapur,Kalyanpur,5674,400/6,Residential,814,2024,25.774073,82.153823,LANDDOC-10063,2026-03-14 11:37:43,dbdb2727a4dd68f34353c238baea5de52fe5a380f19f706a7044af29a912fee7,qr_codes\qr_63.png
64,Nidhi Saxena,Sneha Dubey,Uttar Pradesh,Prayagraj,Phulpur,Basantpur,9926,265/7,Commercial,605,2023,25.812137,80.519182,LANDDOC-10064,2026-03-14 11:37:43,07a42df9e18745b6f3682a8692ee2885d4c3f7a712d282dcb15b1136ec06a3d1,qr_codes\qr_64.png
65,Ravi Shukla,Anjali Srivastava,Uttar Pradesh,Kanpur,Meja,Kalyanpur,4914,163/9,Commercial,4694,2018,26.354667,82.171499,LANDDOC-10065,2026-03-14 11:37:43,b490b307717e3409113ee9a05ebf50dcddfc65a3ff44e700fdc0a42a405ca9b0,qr_codes\qr_65.png
66,Neha Gupta,Ankit Tiwari,Uttar Pradesh,Barabanki,Malihabad,Lakshmipur,3527,705/6,Residential,246,2018,25.58581,79.879991,LANDDOC-10066,2026-03-14 11:37:43,0f2a90074c2e70a5c950f0ef39816b0c612ed9919ea47070abc35156c92aacf1,qr_codes\qr_66.png
67,Arjun Singh,Pooja Yadav,Uttar Pradesh,Gorakhpur,Sadar,Kalyanpur,1875,490/9,Residential,2235,2016,26.807377,80.21746,LANDDOC-10067,2026-03-14 11:37:43,cb90844075600aa8e0b51d5a352677333614b0399dba1c424647510d0bb03521,qr_codes\qr_67.png
68,Sneha Dubey,Amit Sharma,Uttar Pradesh,Sitapur,Sadar,Basantpur,6271,272/9,Residential,1091,2015,27.096577,80.355444,LANDDOC-10068,2026-03-14 11:37:43,6919c41c801909f900441bc4b7c285acae47f772b71058c918598a522a0eeb7b,qr_codes\qr_68.png
69,Priya Singh,Priya Singh,Uttar Pradesh,Gorakhpur,Phulpur,Madhopur,6880,580/7,Agricultural,4592,2015,26.088752,80.707274,LANDDOC-10069,2026-03-14 11:37:43,8c958b94f35bddb5f3286845357d0cf05b01f4e2ea558fc9623d2043909b94b9,qr_codes\qr_69.png
70,Rohit Mishra,Rahul Verma,Uttar Pradesh,Kanpur,Sadar,Lakshmipur,2117,508/9,Residential,2817,2019,25.802581,82.036866,LANDDOC-10070,2026-03-14 11:37:43,6685d3ceebcc0b563ed472719bc032e53128d34fc97c2260a4d71dcf8e7d3b90,qr_codes\qr_70.png
71,Anjali Srivastava,Deepak Yadav,Uttar Pradesh,Varanasi,Bikapur,Madhopur,6359,360/5,Commercial,1558,2022,26.711596,81.591933,LANDDOC-10071,2026-03-14 11:37:43,d85af7d605cff5d5a40d6db40cfd2b88653233f1fae7ede1258158cc722124fd,qr_codes\qr_71.png
72,Saurabh Jain,Priya Singh,Uttar Pradesh,Barabanki,Meja,Basantpur,8276,494/1,Commercial,4727,2015,27.396564,81.117351,LANDDOC-10072,2026-03-14 11:37:43,f83c4317cf7321cb300e27b63e4f71da7eed9cb6e53042a49858cd6ce29ccb03,qr_codes\qr_72.png
73,Nidhi Saxena,Sneha Dubey,Uttar Pradesh,Varanasi,Phulpur,Kalyanpur,8812,610/8,Agricultural,4339,2023,27.111717,82.210729,LANDDOC-10073,2026-03-14 11:37:43,27f8c644c415a95c98c617766cfce35f65a9f307e8eeda84784a4cdf0f9e0a03,qr_codes\qr_73.png
74,Arjun Singh,Sneha Dubey,Uttar Pradesh,Lucknow,Meja,Lakshmipur,2111,302/6,Agricultural,3456,2024,25.575506,80.519563,LANDDOC-10074,2026-03-14 11:37:43,0e1422ca8dc7b7ad2057df2c75db1f1738703b093635a29b188581415c898c2a,qr_codes\qr_74.png
75,Ankit Tiwari,Priya Singh,Uttar Pradesh,Barabanki,Malihabad,Kalyanpur,8031,558/1,Commercial,4098,2016,25.590103,81.475411,LANDDOC-10075,2026-03-14 11:37:43,d1c68a05cc540853ec5129b4eb979d8fbf1c657c8eaa89560135ea9cfd4c159b,qr_codes\qr_75.png
76,Vikas Pandey,Nidhi Saxena,Uttar Pradesh,Lucknow,Phulpur,Madhopur,3140,527/8,Agricultural,4385,2022,27.172681,79.947025,LANDDOC-10076,2026-03-14 11:37:43,44b29016ed64a6e0a18cd60f8f1bf3618b56b97bbc6012b4b110c75370cf5315,qr_codes\qr_76.png
77,Amit Sharma,Ravi Shukla,Uttar Pradesh,Prayagraj,Bikapur,Rampur,5616,471/9,Agricultural,656,2017,27.094046,82.344428,LANDDOC-10077,2026-03-14 11:37:43,02a2ef8685ed3f76f2c6ac59a118df33af3baf3d7b214bbfafc0dd20f1a4041b,qr_codes\qr_77.png
78,Sneha Dubey,Amit Sharma,Uttar Pradesh,Lucknow,Meja,Lakshmipur,3773,985/3,Commercial,858,2020,27.019816,80.375964,LANDDOC-10078,2026-03-14 11:37:43,7ae974297452439fb9bb62bca5128de83214e37492580f17d2e3b31e96a832ed,qr_codes\qr_78.png
79,Anjali Srivastava,Sneha Dubey,Uttar Pradesh,Sitapur,Malihabad,Kalyanpur,7824,367/1,Commercial,1132,2015,27.498179,82.388767,LANDDOC-10079,2026-03-14 11:37:43,131f9603dfb94f9eece4d1fab1f3dfd786123cc11e9f19a901f0fc6ee6f2e8af,qr_codes\qr_79.png
80,Arjun Singh,Anjali Srivastava,Uttar Pradesh,Lucknow,Bikapur,Rampur,7323,620/3,Commercial,4658,2022,26.167942,80.109621,LANDDOC-10080,2026-03-14 11:37:43,9fb1335a7def86a4a3413d40a4c019199b4a8007007201845f79f1702e748fa5,qr_codes\qr_80.png
81,Ravi Shukla,Amit Sharma,Uttar Pradesh,Barabanki,Malihabad,Madhopur,4852,546/1,Residential,3309,2018,27.205175,79.836636,LANDDOC-10081,2026-03-14 11:37:43,ec1d7e1632e60121c66899e38e8cd6ee0e1ee2d570eb035c55fadf7668ff7211,qr_codes\qr_81.png
82,Ravi Shukla,Nidhi Saxena,Uttar Pradesh,Kanpur,Bikapur,Rampur,9905,904/2,Agricultural,1532,2016,25.87408,80.527789,LANDDOC-10082,2026-03-14 11:37:43,374444283bd1903a471bb944f321105a865881237124930b10be31016d120a56,qr_codes\qr_82.png
83,Arjun Singh,Priya Singh,Uttar Pradesh,Lucknow,Phulpur,Rampur,3306,646/9,Commercial,338,2020,27.115902,81.126563,LANDDOC-10083,2026-03-14 11:37:43,5df7728c55fbffa3c4062a7c8ed1fbfdb46313959329da25a95925c173efea56,qr_codes\qr_83.png
84,Neha Gupta,Neha Gupta,Uttar Pradesh,Prayagraj,Phulpur,Rampur,7606,162/2,Agricultural,1818,2021,25.627373,80.303906,LANDDOC-10084,2026-03-14 11:37:43,8f5fdce3455f0f7c5d566b5b802f05ba2fd739b7eda52d1aaf992dead862c28e,qr_codes\qr_84.png
85,Saurabh Jain,Anjali Srivastava,Uttar Pradesh,Lucknow,Malihabad,Kalyanpur,8598,921/9,Residential,583,2022,26.503536,82.484872,LANDDOC-10085,2026-03-14 11:37:43,c58dccca27fc9d34fda79d5907fb4b1334e2a2f8ee2ab4888751825fc29aedef,qr_codes\qr_85.png
86,Saurabh Jain,Deepak Yadav,Uttar Pradesh,Varanasi,Malihabad,Rampur,3415,440/1,Commercial,3926,2017,26.662615,80.408299,LANDDOC-10086,2026-03-14 11:37:43,148774ccb977ad8bae2ea49dfa489367fe113498803d1963908b6ecb1130fd98,qr_codes\qr_86.png
87,Amit Sharma,Arjun Singh,Uttar Pradesh,Kanpur,Meja,Shivpur,8706,156/8,Agricultural,4618,2016,25.566825,81.953879,LANDDOC-10087,2026-03-14 11:37:43,e23866e531b29fa8bf2e370f27ab6590983d959ed78ae502dbc559f1ff1d5acb,qr_codes\qr_87.png
88,Nidhi Saxena,Vikas Pandey,Uttar Pradesh,Barabanki,Malihabad,Rampur,2512,502/7,Agricultural,4356,2019,25.883275,81.969345,LANDDOC-10088,2026-03-14 11:37:43,7dd0dcf98c8a7b038b070ccb647388882aec4a9aaa22ca2297529812f77955f6,qr_codes\qr_88.png
89,Sneha Dubey,Rahul Verma,Uttar Pradesh,Varanasi,Malihabad,Shivpur,7111,308/2,Commercial,3685,2023,26.513723,81.873078,LANDDOC-10089,2026-03-14 11:37:43,b1dfecab91d8303fd7b71670ba77320eb568050379e0877bd5d13ce2a19faecf,qr_codes\qr_89.png
